datetime,DOsp_1,Delta DOsp,error_1,error_2,Delta error,NH4,NO3,P,I,D,Cntrb. P,Cntrb. I,Cntrb. D
2019-09-30 22:56:03,0.2,0,-8.6,-8.6,0,5.0,13.6,0.175,0.00075,0.03,0,0,0
2019-09-30 22:56:03,0.198,-0.002,-8.5783,-8.6,0.0217,4.9903,13.5686,0.175,0.00075,0.03,0.0038,-0.0064,0.0006
2019-09-30 22:57:00,0.1992,0.0012,-8.5382,-8.5783,0.0401,5.0075,13.5456,0.175,0.00075,0.03,0.007,-0.0064,0.0006
2019-09-30 22:58:00,0.1936,-0.0056,-8.5286,-8.5382,0.0096,5.0172,13.5458,0.175,0.00075,0.03,0.0017,-0.0064,-0.0009
2019-09-30 22:59:00,0.196,0.0024,-8.4844,-8.5286,0.0442,5.0323,13.5167,0.175,0.00075,0.03,0.0077,-0.0064,0.001
2019-09-30 23:00:00,0.15,-0.0095,-8.4933,-8.4844,-0.0089,5.0352,13.5285,0.175,0.00075,0.03,-0.0016,-0.0064,-0.0016
2019-09-30 23:01:00,0.1439,-0.0061,-8.4933,-8.4933,-0.0,5.0352,13.5285,0.175,0.00075,0.03,-0.0,-0.0064,0.0003
2019-09-30 23:02:00,0.141,-0.0029,-8.4762,-8.4933,0.0171,5.0584,13.5347,0.175,0.00075,0.03,0.003,-0.0064,0.0005
2019-09-30 23:03:00,0.1314,-0.0096,-8.4894,-8.4762,-0.0132,5.0632,13.5526,0.175,0.00075,0.03,-0.0023,-0.0064,-0.0009
2019-09-30 23:04:00,0.1322,0.0008,-8.4567,-8.4894,0.0327,5.0781,13.5348,0.175,0.00075,0.03,0.0057,-0.0063,0.0014
2019-09-30 23:05:00,0.1304,-0.0018,-8.43,-8.4567,0.0267,5.0871,13.5171,0.175,0.00075,0.03,0.0047,-0.0063,-0.0002
2019-09-30 23:06:00,0.1259,-0.0045,-8.4174,-8.43,0.0126,5.0935,13.511,0.175,0.00075,0.03,0.0022,-0.0063,-0.0004
2019-09-30 23:07:00,0.1193,-0.0066,-8.4169,-8.4174,0.0005,5.1,13.5169,0.175,0.00075,0.03,0.0001,-0.0063,-0.0004
2019-09-30 23:08:00,0.1167,-0.0026,-8.399,-8.4169,0.0179,5.1061,13.5051,0.175,0.00075,0.03,0.0031,-0.0063,0.0005
2019-09-30 23:09:00,0.1172,0.0005,-8.3632,-8.399,0.0358,5.1177,13.4809,0.175,0.00075,0.03,0.0063,-0.0063,0.0005
2019-09-30 23:10:00,0.1099,-0.0073,-8.3632,-8.3632,0.0,5.1177,13.4809,0.175,0.00075,0.03,0.0,-0.0063,-0.0011
2019-09-30 23:11:00,0.107,-0.0029,-8.3469,-8.3632,0.0163,5.139,13.4859,0.175,0.00075,0.03,0.0028,-0.0063,0.0005
2019-09-30 23:12:00,0.1007,-0.0063,-8.3449,-8.3469,0.002,5.1468,13.4917,0.175,0.00075,0.03,0.0004,-0.0063,-0.0004
2019-09-30 23:13:00,0.1041,0.0034,-8.2976,-8.3449,0.0473,5.1582,13.4558,0.175,0.00075,0.03,0.0083,-0.0062,0.0014
2019-09-30 23:14:00,0.095,-0.0091,-8.3047,-8.2976,-0.0071,5.1685,13.4732,0.175,0.00075,0.03,-0.0012,-0.0062,-0.0016
2019-09-30 23:15:00,0.0896,-0.0054,-8.3019,-8.3047,0.0028,5.1762,13.4781,0.175,0.00075,0.03,0.0005,-0.0062,0.0003
2019-09-30 23:16:00,0.0831,-0.0065,-8.3026,-8.3019,-0.0007,5.1761,13.4787,0.175,0.00075,0.03,-0.0001,-0.0062,-0.0001
2019-09-30 23:17:00,0.0789,-0.0042,-8.2929,-8.3026,0.0097,5.1861,13.4791,0.175,0.00075,0.03,0.0017,-0.0062,0.0003
2019-09-30 23:18:00,0.072,-0.0069,-8.2949,-8.2929,-0.002,5.1901,13.485,0.175,0.00075,0.03,-0.0003,-0.0062,-0.0003
2019-09-30 23:19:00,0.0688,-0.0032,-8.2805,-8.2949,0.0144,5.1926,13.4731,0.175,0.00075,0.03,0.0025,-0.0062,0.0005
2019-09-30 23:20:00,0.0648,-0.004,-8.2674,-8.2805,0.0131,5.1999,13.4673,0.175,0.00075,0.03,0.0023,-0.0062,-0.0
2019-09-30 23:21:00,0.0647,-0.0001,-8.2356,-8.2674,0.0318,5.214,13.4496,0.175,0.00075,0.03,0.0056,-0.0062,0.0006
2019-09-30 23:22:00,0.0576,-0.0071,-8.2356,-8.2356,-0.0,5.214,13.4496,0.175,0.00075,0.03,-0.0,-0.0062,-0.001
2019-09-30 23:23:00,0.0585,0.0009,-8.2013,-8.2356,0.0343,5.2436,13.4449,0.175,0.00075,0.03,0.006,-0.0062,0.001
2019-09-30 23:24:00,0.0464,-0.0121,-8.2254,-8.2013,-0.0241,5.2493,13.4747,0.175,0.00075,0.03,-0.0042,-0.0062,-0.0018
2019-09-30 23:25:00,0.0416,-0.0048,-8.2224,-8.2254,0.003,5.2591,13.4815,0.175,0.00075,0.03,0.0005,-0.0062,0.0008
2019-09-30 23:26:00,0.046,0.0044,-8.1705,-8.2224,0.0519,5.2757,13.4462,0.175,0.00075,0.03,0.0091,-0.0061,0.0015
2019-09-30 23:27:00,0.0334,-0.0126,-8.1943,-8.1705,-0.0238,5.2755,13.4698,0.175,0.00075,0.03,-0.0042,-0.0061,-0.0023
2019-09-30 23:28:00,0.0201,-0.0133,-8.2325,-8.1943,-0.0382,5.2727,13.5052,0.175,0.00075,0.03,-0.0067,-0.0062,-0.0004
2019-09-30 23:29:00,0.0205,0.0004,-8.206,-8.2325,0.0265,5.2878,13.4938,0.175,0.00075,0.03,0.0046,-0.0062,0.0019
