datetime,DOsp_1,error_1,error_2,NH4_1,NO3_1,P,I,D
2019-08-27 18:04:57,0.05,-7.5282,-7.6928,3.9632,11.4914,0.1,0.0025,0
2019-08-27 18:04:57,0.05,-7.5282,-7.6928,3.9632,11.4914,0.1,0.0025,0
2019-08-27 18:09:10,0.0298,-7.5417,-7.5282,3.9934,11.5351,0.1,0.0025,0
2019-08-27 18:09:31,0.02,-7.5442,-7.5417,3.9955,11.5397,0.1,0.0025,0
2019-08-27 18:10:00,0.02,-7.5426,-7.5442,3.9974,11.54,0.1,0.0025,0
2019-08-27 18:11:00,0.02,-7.5168,-7.5426,4.0127,11.5294,0.1,0.0025,0
2019-08-27 18:12:01,0.02,-7.4541,-7.5168,4.0349,11.489,0.1,0.0025,0
2019-08-27 18:13:00,0.02,-7.4152,-7.4541,4.049,11.4642,0.1,0.0025,0
2019-08-27 18:14:00,0.02,-7.416,-7.4152,4.0571,11.4731,0.1,0.0025,0
2019-08-27 18:15:00,0.02,-7.3909,-7.416,4.0723,11.4632,0.1,0.0025,0
2019-08-27 18:16:00,0.5,-7.3155,-7.3909,4.1073,11.4229,0.1,0.0025,0
2019-08-27 18:17:00,0.3,-7.1962,-7.3155,4.1572,11.3534,0.1,0.0025,0
2019-08-27 18:18:00,0.3,-6.9961,-7.1962,4.2337,11.2298,0.1,0.0025,0
2019-08-27 18:19:00,0.3,-6.8212,-6.9961,4.2964,11.1175,0.1,0.0025,0
2019-08-27 18:20:00,0.292,-6.7331,-6.8212,4.3306,11.0637,0.1,0.0025,0
2019-08-27 18:21:00,0.3,-6.4017,-6.7331,4.4759,10.8777,0.1,0.0025,0
2019-08-27 18:22:01,0.3,-5.8798,-6.4017,4.6688,10.5486,0.1,0.0025,0
2019-08-27 18:23:02,0.05,-5.7134,-5.8798,4.7244,10.4378,0.1,0.0025,0
2019-08-27 18:24:00,0.0445,-5.6276,-5.7134,4.7644,10.392,0.1,0.0025,0
2019-08-27 18:25:04,0.0432,-5.5035,-5.6276,4.8155,10.319,0.1,0.0025,0
2019-08-27 18:25:13,0.0304,-5.4943,-5.5035,4.82,10.3143,0.1,0.0025,0
2019-08-27 18:25:15,0.02,-5.4943,-5.4943,4.82,10.3143,0.1,0.0025,0
2019-08-27 18:25:17,0.02,-5.4943,-5.4943,4.82,10.3143,0.1,0.0025,0
2019-08-27 18:26:00,0.02,-5.4652,-5.4943,4.8402,10.3054,0.1,0.0025,0
2019-08-27 18:26:27,0.02,-5.4562,-5.4652,4.8447,10.3009,0.1,0.0025,0
2019-08-27 18:26:28,0.02,-5.4562,-5.4562,4.8447,10.3009,0.1,0.0025,0
2019-08-27 18:26:27,0.02,-5.4562,-5.4562,4.8447,10.3009,0.1,0.0025,0
2019-08-27 18:26:28,0.02,-5.4562,-5.4562,4.8447,10.3009,0.1,0.0025,0
2019-08-27 18:26:28,0.02,-5.4562,-5.4562,4.8447,10.3009,0.1,0.0025,0
2019-08-27 18:26:28,0.02,-5.4562,-5.4562,4.8447,10.3009,0.1,0.0025,0
2019-08-27 18:26:28,0.02,-5.4562,-5.4562,4.8447,10.3009,0.1,0.0025,0
2019-08-27 18:26:28,0.02,-5.4562,-5.4562,4.8447,10.3009,0.1,0.0025,0
2019-08-27 18:27:00,0.02,-5.4424,-5.4562,4.8494,10.2918,0.1,0.0025,0
2019-08-27 18:28:00,0.05,-5.3838,-5.4424,4.8763,10.2601,0.1,0.0025,0
2019-08-27 18:29:00,0.0369,-5.3807,-5.3838,4.8832,10.2639,0.1,0.0025,0
2019-08-27 18:30:00,0.0269,-5.3467,-5.3807,4.9036,10.2503,0.1,0.0025,0
2019-08-27 18:31:00,0.02,-5.3124,-5.3467,4.9194,10.2318,0.1,0.0025,0
2019-08-27 18:32:00,0.02,-5.2823,-5.3124,4.9402,10.2226,0.1,0.0025,0
2019-08-27 18:33:00,0.02,-5.2773,-5.2823,4.9448,10.2222,0.1,0.0025,0
2019-08-27 18:34:00,0.02,-5.2677,-5.2773,4.9541,10.2218,0.1,0.0025,0
2019-08-27 18:35:00,0.02,-5.2264,-5.2677,4.9727,10.1991,0.1,0.0025,0
2019-08-27 18:36:00,0.02,-5.2305,-5.2264,4.9818,10.2123,0.1,0.0025,0
2019-08-27 18:37:00,0.02,-5.2209,-5.2305,4.991,10.212,0.1,0.0025,0
2019-08-27 18:38:00,0.02,-5.1845,-5.2209,5.0095,10.194,0.1,0.0025,0
2019-08-27 18:39:00,0.02,-5.1748,-5.1845,5.0189,10.1937,0.1,0.0025,0
2019-08-27 18:40:00,0.02,-5.1359,-5.1748,5.0306,10.1665,0.1,0.0025,0
2019-08-27 18:41:00,0.02,-5.115,-5.1359,5.0468,10.1619,0.1,0.0025,0
2019-08-27 18:42:00,0.02,-5.1103,-5.115,5.0559,10.1663,0.1,0.0025,0
2019-08-27 18:43:00,0.02,-5.091,-5.1103,5.0703,10.1613,0.1,0.0025,0
2019-08-27 18:44:00,0.02,-5.0775,-5.091,5.0837,10.1612,0.1,0.0025,0
2019-08-27 18:45:00,0.02,-5.0288,-5.0775,5.1054,10.1342,0.1,0.0025,0
2019-08-27 18:46:00,0.02,-5.0118,-5.0288,5.1221,10.134,0.1,0.0025,0
2019-08-27 18:47:00,0.02,-5.0013,-5.0118,5.1318,10.1331,0.1,0.0025,0
2019-08-27 18:48:00,0.02,-4.9652,-5.0013,5.1503,10.1154,0.1,0.0025,0
2019-08-27 18:49:00,0.02,-4.9604,-4.9652,5.1591,10.1195,0.1,0.0025,0
2019-08-27 18:50:00,0.02,-4.9841,-4.9604,5.1573,10.1414,0.1,0.0025,0
2019-08-27 18:51:00,0.02,-5.0271,-4.9841,5.1448,10.1719,0.1,0.0025,0
2019-08-27 18:52:00,0.02,-5.0107,-5.0271,5.1613,10.1719,0.1,0.0025,0
2019-08-27 18:53:00,0.02,-5.0349,-5.0107,5.1544,10.1893,0.1,0.0025,0
2019-08-27 18:54:00,0.02,-5.0151,-5.0349,5.174,10.1891,0.1,0.0025,0
2019-08-27 18:55:00,0.02,-4.9755,-5.0151,5.1904,10.1658,0.1,0.0025,0
2019-08-27 18:56:00,0.02,-4.9653,-4.9755,5.2095,10.1748,0.1,0.0025,0
2019-08-27 18:57:00,0.02,-4.9256,-4.9653,5.231,10.1566,0.1,0.0025,0
2019-08-27 18:58:00,0.02,-4.9209,-4.9256,5.231,10.1519,0.1,0.0025,0
2019-08-27 18:59:00,0.02,-5.6042,-4.9209,4.9045,10.5087,0.1,0.0025,0
2019-08-27 19:00:00,0.02,-6.3268,-5.6042,4.686,11.0128,0.1,0.0025,0
2019-08-27 19:01:00,0.02,-6.4321,-6.3268,4.6669,11.099,0.1,0.0025,0
2019-08-27 19:02:00,0.02,-6.4708,-6.4321,4.6619,11.1327,0.1,0.0025,0
2019-08-27 19:03:00,0.02,-6.5135,-6.4708,4.6533,11.1668,0.1,0.0025,0
2019-08-27 19:04:00,0.0864,-6.1261,-6.5135,4.8095,10.9355,0.1,0.0025,0.1
2019-08-27 19:05:00,0.0645,-5.9673,-6.1261,4.8687,10.8359,0.1,0.0025,0.1
2019-08-27 19:06:00,0.02,-6.41,-5.9673,4.7024,11.1123,0.1,0.0025,0.1
2019-08-27 19:07:00,0.04,-6.4506,-6.41,4.7005,11.1511,0.1,0.0025,0.1
2019-08-27 19:08:00,0.0214,-6.4828,-6.4506,4.6969,11.1797,0.1,0.0025,0.1
2019-08-27 19:09:00,0.02,-6.4609,-6.4828,4.7087,11.1696,0.1,0.0025,0.1
2019-08-27 19:10:00,0.02,-6.4371,-6.4609,4.7279,11.165,0.1,0.0025,0.1
2019-08-27 19:11:00,0.02,-6.394,-6.4371,4.7457,11.1398,0.1,0.0025,0.1
2019-08-27 19:12:00,0.02,-6.4065,-6.394,4.7479,11.1544,0.1,0.0025,0.1
2019-08-27 19:13:00,0.02,-6.4072,-6.4065,4.7568,11.164,0.1,0.0025,0.1
2019-08-27 19:14:00,0.02,-6.3882,-6.4072,4.7702,11.1584,0.1,0.0025,0.1
2019-08-27 19:15:00,0.02,-6.3601,-6.3882,4.7885,11.1486,0.1,0.0025,0.1
2019-08-27 19:16:00,0.0637,-6.0519,-6.3601,4.9229,10.9748,0.1,0.0025,0.1
2019-08-27 19:17:00,0.1675,-5.3122,-6.0519,5.2201,10.5323,0.1,0.0025,0.1
2019-08-27 19:18:00,0.1649,-4.8942,-5.3122,5.3909,10.2851,0.1,0.0025,0.1
2019-08-27 19:19:00,0.1386,-4.7574,-4.8942,5.4379,10.1953,0.1,0.0025,0.1
2019-08-27 19:20:00,0.1195,-4.7254,-4.7574,5.447,10.1724,0.1,0.0025,0.1
