datetime,DOsp_1,error_1,error_2,NH4,NO3,P,I,D,Cntrb. P,Cntrb. I,Cntrb. D
2019-08-29 12:52:00,0.1,-0.1,-0.1,5,5.1,0.05,0.001,0.1,0,0,0
2019-08-29 12:52:00,0.1,,-0.1,,,0.05,0.001,0.1,,,
2019-08-29 12:53:00,0.1,,-0.1,,,0.05,0.001,0.1,,,
2019-08-29 12:54:00,0.1,,,,,0.05,0.001,0.1,,,
2019-08-29 12:55:00,0.1,0.7231,,5.7777,5.0546,0.05,0.001,0.1,,0.0007,
2019-08-29 12:56:00,0.1,,0.7231,,5.0496,0.05,0.001,0.1,,,
2019-08-29 12:57:00,0.1,,0.7231,,5.0518,0.05,0.001,0.1,,,
2019-08-29 12:58:00,0.1,-0.0467,,5.0024,5.0491,0.05,0.001,0.1,,-0.0,
2019-08-29 12:59:00,0.1,-0.0359,-0.0467,5.0065,5.0424,0.05,0.001,0.1,0.0005,-0.0,
2019-08-29 13:00:00,0.0947,-0.0633,-0.0359,4.9905,5.0538,0.05,0.001,0.1,-0.0014,-0.0001,-0.0038
2019-08-29 13:01:00,0.0946,-0.0816,-0.0633,4.9813,5.063,0.05,0.001,0.1,-0.0009,-0.0001,0.0009
2019-08-29 13:02:00,0.0951,-0.09,-0.0816,4.9727,5.0627,0.05,0.001,0.1,-0.0004,-0.0001,0.001
2019-08-29 13:03:00,0.0972,-0.0809,-0.09,4.9817,5.0626,0.05,0.001,0.1,0.0005,-0.0001,0.0018
2019-08-29 13:04:00,0.0878,-0.1368,-0.0809,4.9467,5.0835,0.05,0.001,0.1,-0.0028,-0.0001,-0.0065
2019-08-29 13:05:00,0.097,-0.1119,-0.1368,4.9623,5.0741,0.05,0.001,0.1,0.0012,-0.0001,0.0081
2019-08-29 13:06:00,0.0923,-0.1256,-0.1119,4.9555,5.081,0.05,0.001,0.1,-0.0007,-0.0001,-0.0039
2019-08-29 13:07:00,0.0912,-0.1413,-0.1256,4.9394,5.0807,0.05,0.001,0.1,-0.0008,-0.0001,-0.0002
2019-08-29 13:08:00,0.0915,-0.1485,-0.1413,4.9276,5.0761,0.05,0.001,0.1,-0.0004,-0.0001,0.0009
2019-08-29 13:09:00,0.0891,-0.1685,-0.1485,4.9192,5.0877,0.05,0.001,0.1,-0.001,-0.0002,-0.0013
2019-08-29 13:10:00,0.0925,-0.1584,-0.1685,4.9244,5.0828,0.05,0.001,0.1,0.0005,-0.0002,0.003
2019-08-29 13:11:00,0.0923,-0.1518,-0.1584,4.9284,5.0802,0.05,0.001,0.1,0.0003,-0.0002,-0.0003
2019-08-29 13:12:00,0.0885,-0.1714,-0.1518,4.9176,5.089,0.05,0.001,0.1,-0.001,-0.0002,-0.0026
2019-08-29 13:13:00,0.088,-0.1868,-0.1714,4.9071,5.0938,0.05,0.001,0.1,-0.0008,-0.0002,0.0004
2019-08-29 13:14:00,0.087,-0.2026,-0.1868,4.8912,5.0938,0.05,0.001,0.1,-0.0008,-0.0002,-0.0
2019-08-29 13:15:00,0.0871,-0.2112,-0.2026,4.8848,5.096,0.05,0.001,0.1,-0.0004,-0.0002,0.0007
2019-08-29 13:16:00,0.0868,-0.2176,-0.2112,4.8826,5.1002,0.05,0.001,0.1,-0.0003,-0.0002,0.0002
2019-08-29 13:17:00,0.0858,-0.227,-0.2176,4.8781,5.1051,0.05,0.001,0.1,-0.0005,-0.0002,-0.0003
2019-08-29 13:18:00,0.0859,-0.2311,-0.227,4.8737,5.1048,0.05,0.001,0.1,-0.0002,-0.0002,0.0005
2019-08-29 13:19:00,0.0841,-0.2444,-0.2311,4.8625,5.1069,0.05,0.001,0.1,-0.0007,-0.0002,-0.0009
2019-08-29 13:20:00,0.0843,-0.2504,-0.2444,4.8588,5.1091,0.05,0.001,0.1,-0.0003,-0.0003,0.0007
2019-08-29 13:21:00,0.085,-0.2481,-0.2504,4.8514,5.0995,0.05,0.001,0.1,0.0001,-0.0002,0.0008
2019-08-29 13:22:00,0.0852,-0.2434,-0.2481,4.8537,5.0971,0.05,0.001,0.1,0.0002,-0.0002,0.0002
2019-08-29 13:23:00,0.0835,-0.2499,-0.2434,4.8469,5.0968,0.05,0.001,0.1,-0.0003,-0.0002,-0.0011
2019-08-29 13:24:00,0.0805,-0.2721,-0.2499,4.8317,5.1038,0.05,0.001,0.1,-0.0011,-0.0003,-0.0016
2019-08-29 13:25:00,0.0788,-0.296,-0.2721,4.8099,5.106,0.05,0.001,0.1,-0.0012,-0.0003,-0.0002
2019-08-29 13:26:00,0.081,-0.2956,-0.296,4.8102,5.1058,0.05,0.001,0.1,0.0,-0.0003,0.0024
2019-08-29 13:27:00,0.0806,-0.2959,-0.2956,4.8098,5.1057,0.05,0.001,0.1,-0.0,-0.0003,-0.0001
2019-08-29 13:28:00,0.0794,-0.3023,-0.2959,4.8035,5.1058,0.05,0.001,0.1,-0.0003,-0.0003,-0.0006
2019-08-29 13:29:00,0.0796,-0.3035,-0.3023,4.7948,5.0983,0.05,0.001,0.1,-0.0001,-0.0003,0.0005
2019-08-29 13:30:00,0.0774,-0.3171,-0.3035,4.7885,5.1056,0.05,0.001,0.1,-0.0007,-0.0003,-0.0012
2019-08-29 13:31:00,0.0785,-0.3167,-0.3171,4.7864,5.1031,0.05,0.001,0.1,0.0,-0.0003,0.0014
2019-08-29 13:32:00,0.0785,-0.3146,-0.3167,4.7884,5.103,0.05,0.001,0.1,0.0001,-0.0003,0.0002
2019-08-29 13:33:00,0.0787,-0.3098,-0.3146,4.7953,5.1051,0.05,0.001,0.1,0.0002,-0.0003,0.0003
2019-08-29 13:34:00,0.0773,-0.3141,-0.3098,4.7906,5.1047,0.05,0.001,0.1,-0.0002,-0.0003,-0.0009
2019-08-29 13:35:00,0.0734,-0.341,-0.3141,4.7778,5.1188,0.05,0.001,0.1,-0.0013,-0.0003,-0.0023
2019-08-29 13:36:00,0.0758,-0.3406,-0.341,4.771,5.1116,0.05,0.001,0.1,0.0,-0.0003,0.0027
2019-08-29 13:37:00,0.0772,-0.3287,-0.3406,4.7755,5.1042,0.05,0.001,0.1,0.0006,-0.0003,0.0012
2019-08-29 13:38:00,0.0761,-0.3261,-0.3287,4.7782,5.1042,0.05,0.001,0.1,0.0001,-0.0003,-0.0009
2019-08-29 13:39:00,0.0766,-0.3191,-0.3261,4.7849,5.104,0.05,0.001,0.1,0.0004,-0.0003,0.0004
2019-08-29 13:40:00,0.0752,-0.3216,-0.3191,4.7822,5.1038,0.05,0.001,0.1,-0.0001,-0.0003,-0.0009
2019-08-29 13:41:00,0.0725,-0.3392,-0.3216,4.7787,5.1179,0.05,0.001,0.1,-0.0009,-0.0003,-0.0015
2019-08-29 13:42:00,0.0749,-0.3327,-0.3392,4.7852,5.1178,0.05,0.001,0.1,0.0003,-0.0003,0.0024
2019-08-29 13:43:01,0.0739,-0.3326,-0.3327,4.7921,5.1247,0.05,0.001,0.1,0.0,-0.0003,-0.0006
2019-08-29 13:44:00,0.0719,-0.3438,-0.3326,4.7881,5.132,0.05,0.001,0.1,-0.0006,-0.0003,-0.0011
2019-08-29 13:45:00,0.0722,-0.347,-0.3438,4.7849,5.1319,0.05,0.001,0.1,-0.0002,-0.0003,0.0008
2019-08-29 13:46:00,0.0741,-0.3341,-0.347,4.7856,5.1197,0.05,0.001,0.1,0.0006,-0.0003,0.0016
2019-08-29 13:47:00,0.0756,-0.3134,-0.3341,4.7967,5.1101,0.05,0.001,0.1,0.001,-0.0003,0.0008
2019-08-29 13:48:00,0.0729,-0.3152,-0.3134,4.7996,5.1148,0.05,0.001,0.1,-0.0001,-0.0003,-0.0023
2019-08-29 13:49:00,0.0714,-0.3244,-0.3152,4.7951,5.1196,0.05,0.001,0.1,-0.0005,-0.0003,-0.0007
2019-08-29 13:50:00,0.0731,-0.3173,-0.3244,4.7997,5.117,0.05,0.001,0.1,0.0004,-0.0003,0.0016
2019-08-29 13:51:00,0.072,-0.3177,-0.3173,4.804,5.1217,0.05,0.001,0.1,-0.0,-0.0003,-0.0008
2019-08-29 13:52:01,0.0734,-0.3063,-0.3177,4.8082,5.1145,0.05,0.001,0.1,0.0006,-0.0003,0.0012
2019-08-29 13:53:00,0.0699,-0.3197,-0.3063,4.7946,5.1143,0.05,0.001,0.1,-0.0007,-0.0003,-0.0025
2019-08-29 13:54:00,0.0724,-0.3102,-0.3197,4.8038,5.114,0.05,0.001,0.1,0.0005,-0.0003,0.0023
2019-08-29 13:55:00,0.0702,-0.3166,-0.3102,4.7998,5.1164,0.05,0.001,0.1,-0.0003,-0.0003,-0.0016
2019-08-29 13:56:00,0.0733,-0.2982,-0.3166,4.8087,5.1069,0.05,0.001,0.1,0.0009,-0.0003,0.0025
2019-08-29 13:57:00,0.0694,-0.3101,-0.2982,4.8064,5.1165,0.05,0.001,0.1,-0.0006,-0.0003,-0.003
2019-08-29 13:58:00,0.0701,-0.3115,-0.3101,4.8044,5.116,0.05,0.001,0.1,-0.0001,-0.0003,0.001
2019-08-29 13:59:00,0.0703,-0.3093,-0.3115,4.8066,5.1159,0.05,0.001,0.1,0.0001,-0.0003,0.0004
2019-08-29 14:00:00,0.0691,-0.314,-0.3093,4.8066,5.1207,0.05,0.001,0.1,-0.0002,-0.0003,-0.0007
2019-08-29 14:01:00,0.0694,-0.3133,-0.314,4.807,5.1203,0.05,0.001,0.1,0.0,-0.0003,0.0005
2019-08-29 14:02:00,0.0687,-0.3152,-0.3133,4.805,5.1202,0.05,0.001,0.1,-0.0001,-0.0003,-0.0003
2019-08-29 14:03:00,0.0696,-0.3085,-0.3152,4.8092,5.1177,0.05,0.001,0.1,0.0003,-0.0003,0.0009
2019-08-29 14:04:00,0.0697,-0.3017,-0.3085,4.8135,5.1152,0.05,0.001,0.1,0.0003,-0.0003,0.0
2019-08-29 14:05:00,0.0681,-0.3061,-0.3017,4.8162,5.1223,0.05,0.001,0.1,-0.0002,-0.0003,-0.0011
2019-08-29 14:06:00,0.0706,-0.2905,-0.3061,4.8247,5.1152,0.05,0.001,0.1,0.0008,-0.0003,0.002
2019-08-29 14:07:00,0.0711,-0.2747,-0.2905,4.8404,5.1151,0.05,0.001,0.1,0.0008,-0.0003,0.0
2019-08-29 14:08:00,0.071,-0.2628,-0.2747,4.8472,5.11,0.05,0.001,0.1,0.0006,-0.0003,-0.0004
2019-08-29 14:09:00,0.0716,-0.2492,-0.2628,4.8512,5.1004,0.05,0.001,0.1,0.0007,-0.0002,0.0002
2019-08-29 14:10:00,0.0673,-0.2671,-0.2492,4.845,5.1121,0.05,0.001,0.1,-0.0009,-0.0003,-0.0032
2019-08-29 14:11:00,0.07,-0.2591,-0.2671,4.8553,5.1144,0.05,0.001,0.1,0.0004,-0.0003,0.0026
2019-08-29 14:12:00,0.0668,-0.2735,-0.2591,4.8551,5.1286,0.05,0.001,0.1,-0.0007,-0.0003,-0.0022
2019-08-29 14:13:00,0.0683,-0.2712,-0.2735,4.8595,5.1307,0.05,0.001,0.1,0.0001,-0.0003,0.0017
