datetime,DOsp_1,Delta DOsp,error_1,error_2,Delta error,NH4,NO3,P,I,D,Cntrb. P,Cntrb. I,Cntrb. D
2019-09-01 23:04:00,0.02,0,-0.8175000000000008,-0.8175000000000008,0,10.5359,11.3534,0.175,0.00075,0.03,0,0,0
2019-09-01 23:04:00,0.2327,0.2127,0.219,-0.8175,1.0365,11.1798,10.9608,0.175,0.00075,0.03,0.1814,0.0002,0.0311
2019-09-01 23:05:00,0.1322,-0.1005,-0.1192,0.219,-0.3382,10.8786,10.9978,0.175,0.00075,0.03,-0.0592,-0.0001,-0.0412
2019-09-01 23:06:00,0.0922,-0.04,-0.3627,-0.1192,-0.2435,10.7845,11.1472,0.175,0.00075,0.03,-0.0426,-0.0003,0.0028
2019-09-01 23:07:00,0.0722,-0.02,-0.4942,-0.3627,-0.1315,10.7174,11.2115,0.175,0.00075,0.03,-0.023,-0.0004,0.0034
2019-09-01 23:08:00,0.0618,-0.0104,-0.5623,-0.4942,-0.0681,10.6844,11.2468,0.175,0.00075,0.03,-0.0119,-0.0004,0.0019
2019-09-01 23:09:00,0.0574,-0.0044,-0.5916,-0.5623,-0.0293,10.6702,11.2618,0.175,0.00075,0.03,-0.0051,-0.0004,0.0012
2019-09-01 23:10:00,0.0606,0.0032,-0.578,-0.5916,0.0136,10.6748,11.2528,0.175,0.00075,0.03,0.0024,-0.0004,0.0013
2019-09-01 23:11:00,0.0585,-0.0021,-0.584,-0.578,-0.006,10.6744,11.2584,0.175,0.00075,0.03,-0.001,-0.0004,-0.0006
2019-09-01 23:12:00,0.0462,-0.0123,-0.6425,-0.584,-0.0585,10.6463,11.2888,0.175,0.00075,0.03,-0.0102,-0.0005,-0.0016
2019-09-01 23:13:00,0.1759,0.1297,-0.0184,-0.6425,0.6241,11.0472,11.0656,0.175,0.00075,0.03,0.1092,-0.0,0.0205
2019-09-01 23:14:00,0.3805,0.2046,1.0672,-0.0184,1.0856,11.6207,10.5536,0.175,0.00075,0.03,0.19,0.0008,0.0138
2019-09-01 23:15:00,0.0699,-0.3106,-0.2881,1.0672,-1.3553,10.8024,11.0905,0.175,0.00075,0.03,-0.2372,-0.0002,-0.0732
2019-09-01 23:16:00,0.0631,-0.0068,-0.5178,-0.2881,-0.2297,10.7096,11.2275,0.175,0.00075,0.03,-0.0402,-0.0004,0.0338
2019-09-01 23:17:00,0.0655,0.0024,-0.5378,-0.5178,-0.02,10.7004,11.2382,0.175,0.00075,0.03,-0.0035,-0.0004,0.0063
2019-09-01 23:18:00,0.0626,-0.0029,-0.553,-0.5378,-0.0152,10.7004,11.2534,0.175,0.00075,0.03,-0.0027,-0.0004,0.0001
2019-09-01 23:19:00,0.0615,-0.0011,-0.5584,-0.553,-0.0054,10.7053,11.2637,0.175,0.00075,0.03,-0.0009,-0.0004,0.0003
2019-09-01 23:20:00,0.0631,0.0016,-0.5495,-0.5584,0.0089,10.7148,11.2643,0.175,0.00075,0.03,0.0015,-0.0004,0.0004
2019-09-01 23:21:00,0.068,0.0049,-0.5224,-0.5495,0.0271,10.7232,11.2457,0.175,0.00075,0.03,0.0047,-0.0004,0.0005
2019-09-01 23:22:00,0.0648,-0.0032,-0.5323,-0.5224,-0.0099,10.728,11.2603,0.175,0.00075,0.03,-0.0017,-0.0004,-0.0011
