datetime,DOsp_1,error_1,error_2,NH4,NO3,P,I,D,Cntrb. P,Cntrb. I,Cntrb. D
2019-10-01 17:58:00,0.28,1.0,1.0,14.25,13.25,0.1,0.0005,0,0,0,0
2019-10-01 17:58:00,0.0854,0.8539,1.0,14.214,13.3602,0.1,0.0005,0,0.0854,0.0004,0
2019-10-01 17:59:00,0.0881,0.8772,0.8539,14.2143,13.3371,0.1,0.0005,0,0.0877,0.0008,0
2019-10-01 18:00:00,0.0861,0.8525,0.8772,14.2135,13.3609,0.1,0.0005,0,0.0853,0.0012,0
2019-10-01 18:01:00,0.0864,0.8517,0.8525,14.213,13.3613,0.1,0.0005,0,0.0852,0.0016,0
2019-10-01 18:02:00,0.0868,0.8517,0.8517,14.213,13.3613,0.1,0.0005,0,0.0852,0.002,0
2019-10-01 18:03:00,0.0871,0.8506,0.8517,14.2246,13.374,0.1,0.0005,0,0.0851,0.0024,0
2019-10-01 18:04:00,0.0803,0.7791,0.8506,14.2004,13.4213,0.1,0.0005,0,0.0779,0.0028,0
2019-10-01 18:05:00,0.0763,0.7353,0.7791,14.1751,13.4397,0.1,0.00075,0,0.0735,0.0034,0
2019-10-01 18:06:00,0.0752,0.718,0.7353,14.1693,13.4513,0.1,0.00075,0,0.0718,0.0039,0
2019-10-01 18:07:00,0.0756,0.7175,0.718,14.169,13.4515,0.1,0.00075,0,0.0717,0.0044,0
2019-10-01 18:08:00,0.0748,0.7042,0.7175,14.162,13.4578,0.1,0.00075,0,0.0704,0.0049,0
2019-10-01 18:09:00,0.0752,0.7031,0.7042,14.1735,13.4704,0.1,0.00075,0,0.0703,0.0054,0
2019-10-01 18:10:00,0.0726,0.6721,0.7031,14.161,13.4889,0.1,0.00075,0,0.0672,0.0059,0
2019-10-01 18:11:00,0.0731,0.6721,0.6721,14.161,13.4889,0.1,0.00075,0,0.0672,0.0064,0
2019-10-01 18:12:00,0.121,0.6546,0.6721,14.1729,13.5183,0.175,0.00075,0,0.1146,0.0069,0
2019-10-01 18:13:00,0.1154,0.6201,0.6546,14.1622,13.5421,0.175,0.00075,0,0.1085,0.0074,0
2019-10-01 18:14:00,0.1209,0.6483,0.6201,14.167,13.5186,0.175,0.00075,0,0.1135,0.0079,0
2019-10-01 18:15:00,0.1224,0.6544,0.6483,14.1732,13.5189,0.175,0.00075,0,0.1145,0.0084,0
2019-10-01 18:16:00,0.1219,0.6484,0.6544,14.1734,13.525,0.175,0.00075,0,0.1135,0.0089,0
2019-10-01 18:17:00,0.1149,0.6057,0.6484,14.1611,13.5554,0.175,0.00075,0,0.106,0.0094,0
2019-10-01 18:18:00,0.1194,0.6283,0.6057,14.1547,13.5263,0.175,0.00075,0,0.11,0.0099,0
2019-10-01 18:19:00,0.1219,0.64,0.6283,14.1607,13.5206,0.175,0.00075,0,0.112,0.0104,0
2019-10-01 18:20:00,0.1224,0.64,0.64,14.1607,13.5206,0.175,0.00075,0,0.112,0.0109,0
2019-10-01 18:21:00,0.1188,0.6167,0.64,14.1728,13.5561,0.175,0.00075,0,0.1079,0.0114,0
2019-10-01 18:22:00,0.1118,0.5737,0.6167,14.1664,13.5927,0.175,0.00075,0,0.1004,0.0118,0
2019-10-01 18:23:00,0.1182,0.6078,0.5737,14.1712,13.5634,0.175,0.00075,0,0.1064,0.0123,0
2019-10-01 18:24:00,0.1197,0.6137,0.6078,14.1712,13.5575,0.175,0.00075,0,0.1074,0.0128,0
2019-10-01 18:25:00,0.1117,0.5652,0.6137,14.1529,13.5877,0.175,0.00075,0,0.0989,0.0132,0
