datetime,DOsp_1,error_1,error_2,NH4,NO3,P,I,D,Cntrb. P,Cntrb. I,Cntrb. D
2019-08-28 18:27:00,0.3,2.1,2.1,12.7,10.6,0.1,0.002,0.1,0,0,0
2019-08-28 18:27:00,0.3,2.0924,2.1,12.7115,10.6191,0.1,0.002,0.1,-0.0008,0.0042,-0.0008
2019-08-28 18:28:00,0.3,2.087,2.0924,12.706,10.619,0.1,0.002,0.1,-0.0005,0.0042,0.0002
2019-08-28 18:29:00,0.3,2.0974,2.087,12.7116,10.6142,0.1,0.002,0.1,0.001,0.0042,0.0016
2019-08-28 18:30:00,0.2941,2.0525,2.0974,12.685,10.6324,0.1,0.002,0.1,-0.0045,0.0041,-0.0055
2019-08-28 18:31:00,0.3,2.0433,2.0525,12.6897,10.6464,0.1,0.002,0.1,-0.0009,0.0041,0.0036
2019-08-28 18:32:00,0.2981,2.0093,2.0433,12.6788,10.6695,0.1,0.002,0.1,-0.0034,0.004,-0.0025
2019-08-28 18:33:00,0.2975,1.9694,2.0093,12.6624,10.6929,0.1,0.002,0.1,-0.004,0.0039,-0.0006
2019-08-28 18:34:00,0.3,1.9481,1.9694,12.6457,10.6976,0.1,0.002,0.1,-0.0021,0.0039,0.0019
2019-08-28 18:35:00,0.3,1.9446,1.9481,12.6462,10.7016,0.1,0.002,0.1,-0.0004,0.0039,0.0018
2019-08-28 18:36:00,0.2951,1.8996,1.9446,12.62,10.7204,0.1,0.002,0.1,-0.0045,0.0038,-0.0042
2019-08-28 18:37:00,0.2995,1.8801,1.8996,12.6142,10.7342,0.1,0.002,0.1,-0.002,0.0038,0.0025
2019-08-28 18:38:00,0.2983,1.8458,1.8801,12.6033,10.7575,0.1,0.002,0.1,-0.0034,0.0037,-0.0015
2019-08-28 18:39:00,0.2973,1.8056,1.8458,12.5819,10.7763,0.1,0.002,0.1,-0.004,0.0036,-0.0006
2019-08-28 18:40:00,0.2959,1.761,1.8056,12.5656,10.8046,0.1,0.002,0.1,-0.0045,0.0035,-0.0004
2019-08-28 18:41:00,0.3,1.7513,1.761,12.555,10.8037,0.1,0.002,0.1,-0.001,0.0035,0.0035
2019-08-28 18:42:00,0.2933,1.6959,1.7513,12.5277,10.8318,0.1,0.002,0.1,-0.0055,0.0034,-0.0046
2019-08-28 18:43:00,0.2971,1.6707,1.6959,12.5164,10.8456,0.1,0.002,0.1,-0.0025,0.0033,0.003
2019-08-28 18:44:00,0.2922,1.6172,1.6707,12.5009,10.8838,0.1,0.002,0.1,-0.0054,0.0032,-0.0028
2019-08-28 18:45:00,0.3,1.6168,1.6172,12.4953,10.8785,0.1,0.002,0.1,-0.0,0.0032,0.0053
2019-08-28 18:46:00,0.289,1.5461,1.6168,12.4578,10.9117,0.1,0.002,0.1,-0.0071,0.0031,-0.007
2019-08-28 18:47:00,0.2972,1.5365,1.5461,12.4525,10.916,0.1,0.002,0.1,-0.001,0.0031,0.0061
2019-08-28 18:48:00,0.2955,1.5081,1.5365,12.4473,10.9392,0.1,0.002,0.1,-0.0028,0.003,-0.0019
2019-08-28 18:49:00,0.2911,1.4574,1.5081,12.4202,10.9628,0.1,0.002,0.1,-0.0051,0.0029,-0.0022
2019-08-28 18:50:00,0.2835,1.3802,1.4574,12.3723,10.992,0.1,0.002,0.1,-0.0077,0.0028,-0.0026
2019-08-28 18:51:00,0.2889,1.3552,1.3802,12.3561,11.0009,0.1,0.002,0.1,-0.0025,0.0027,0.0052
2019-08-28 18:52:00,0.2952,1.3608,1.3552,12.3618,11.001,0.1,0.002,0.1,0.0006,0.0027,0.0031
2019-08-28 18:53:00,0.2942,1.345,1.3608,12.3507,11.0057,0.1,0.002,0.1,-0.0016,0.0027,-0.0021
2019-08-28 18:54:00,0.2886,1.2961,1.345,12.3252,11.0291,0.1,0.002,0.1,-0.0049,0.0026,-0.0033
2019-08-28 18:55:00,0.294,1.286,1.2961,12.3247,11.0388,0.1,0.002,0.1,-0.001,0.0026,0.0039
2019-08-28 18:56:00,0.2938,1.267,1.286,12.3199,11.0529,0.1,0.002,0.1,-0.0019,0.0025,-0.0009
2019-08-28 18:57:00,0.294,1.2463,1.267,12.3039,11.0576,0.1,0.002,0.1,-0.0021,0.0025,-0.0002
2019-08-28 18:58:00,0.2926,1.2166,1.2463,12.2932,11.0767,0.1,0.002,0.1,-0.003,0.0024,-0.0009
2019-08-28 18:59:00,0.2867,1.1604,1.2166,12.261,11.1006,0.1,0.002,0.1,-0.0056,0.0023,-0.0026
2019-08-28 19:00:00,0.2929,1.1516,1.1604,12.2614,11.1098,0.1,0.002,0.1,-0.0009,0.0023,0.0047
2019-08-28 19:01:00,0.287,1.1067,1.1516,12.2406,11.1339,0.1,0.002,0.1,-0.0045,0.0022,-0.0036
2019-08-28 19:02:00,0.2773,1.0256,1.1067,12.1983,11.1727,0.1,0.002,0.1,-0.0081,0.0021,-0.0036
2019-08-28 19:03:00,0.2842,1.0097,1.0256,12.1823,11.1726,0.1,0.002,0.1,-0.0016,0.002,0.0065
2019-08-28 19:04:00,0.2819,0.9802,1.0097,12.1668,11.1866,0.1,0.002,0.1,-0.0029,0.002,-0.0014
2019-08-28 19:05:00,0.2746,0.9196,0.9802,12.1357,11.2161,0.1,0.002,0.1,-0.0061,0.0018,-0.0031
2019-08-28 19:06:00,0.2692,0.8536,0.9196,12.1036,11.25,0.1,0.002,0.1,-0.0066,0.0017,-0.0005
2019-08-28 19:07:00,0.2756,0.8442,0.8536,12.1036,11.2595,0.1,0.002,0.1,-0.0009,0.0017,0.0057
